left_wrist_x,left_wrist_y,left_wrist_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,Left_Elbow_x,Left_Elbow_y,Left_Elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_Elbow_x,right_Elbow_y,right_Elbow_z,left_pinky_x,left_pinky_y,left_pinky_z,right_pinky_x,right_pinky_y,right_pinky_z,left_index_x,left_index_y,left_index_z,right_index_x,right_index_y,right_index_z,left_thumb_x,left_thumb_y,left_thumb_z,right_thumb_x,right_thumb_y,right_thumb_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,label
0.269146293,0.338348106,-0.74654007,0.658885628,0.317507833,-0.648997039,0.45921959,0.337904871,-0.7615605,0.294752449,0.37665163,-0.029548603,0.626492202,0.322359324,0.040984759,0.474306554,0.358156636,0.093624521,0.22844699,0.336001202,-0.831755608,0.29474856,0.375109538,-0.054649508,0.233810842,0.324491426,-0.808048218,0.298862979,0.38502495,-0.122154191,0.248337835,0.335268706,-0.738405168,0.277733371,0.379045427,-0.068731532,0.647708714,0.49687992,-0.19867079,0.605815738,0.497725606,0.198142298,0.643794745,0.62010923,0.10452605,0.618352532,0.618640155,0.517659575,0.654341102,0.743815124,0.450595587,0.651868641,0.728643239,0.900015175,0.674933821,0.771562248,0.47752969,0.67452544,0.750592262,0.935770333,0.55241394,0.767771304,0.312234148,0.566835195,0.746250421,0.841307342,1
0.209414497,0.379110098,-0.422409624,0.480109155,0.324457735,-0.500048041,0.356076628,0.408124417,-0.543037832,0.448269993,0.474229813,0.2764467,0.540217102,0.321193427,0.127758741,0.523085535,0.416346848,0.27187416,0.17628634,0.368008912,-0.481176704,0.437665462,0.482535958,0.286405534,0.17977573,0.356956124,-0.456323028,0.433521479,0.480984002,0.23532249,0.19170846,0.36134547,-0.409149528,0.43572852,0.478463829,0.253213495,0.488896608,0.505839705,-0.185627759,0.526048481,0.501572967,0.185065672,0.497181952,0.629579484,0.09306287,0.520299077,0.623016298,0.467870325,0.509045064,0.74709028,0.349812627,0.551877022,0.72804296,0.771188319,0.534209013,0.771052837,0.369592905,0.567560077,0.749382496,0.802205861,0.416115791,0.762767613,0.272458553,0.472591609,0.738990068,0.753450632,2
0.260888606,0.336561546,-0.773694932,0.654523313,0.316400036,-0.639571339,0.454828426,0.332444102,-0.78989318,0.340878859,0.400582537,0.003772184,0.620454341,0.321906969,0.052516807,0.481207609,0.359511957,0.128061816,0.215654276,0.333512262,-0.865481675,0.319607347,0.397480235,-0.020429735,0.212307081,0.324869767,-0.830588162,0.318705097,0.400372505,-0.086063113,0.229406439,0.329941496,-0.761321157,0.326412916,0.397828326,-0.034802236,0.64747861,0.495273381,-0.200173773,0.600865781,0.496002063,0.199719332,0.642168075,0.619573742,0.080393855,0.61610648,0.616637081,0.516866028,0.654854029,0.743653715,0.422026753,0.653034329,0.728005886,0.887076646,0.674748927,0.77012828,0.448517174,0.675260335,0.749686062,0.922125369,0.554523587,0.764112025,0.27769196,0.570257932,0.743874848,0.830127716,1
0.199255571,0.37311691,-0.402707666,0.476457089,0.323058903,-0.500194371,0.343748569,0.403319389,-0.531974554,0.422037393,0.465761304,0.283457667,0.539423704,0.322255164,0.142656833,0.512254894,0.414460093,0.285192579,0.17055881,0.361176908,-0.461422086,0.409802496,0.469730288,0.291253865,0.176233023,0.349550545,-0.43593961,0.401979357,0.46763742,0.241691262,0.186639488,0.354106814,-0.38866818,0.404834241,0.466185212,0.262489438,0.483686805,0.503432095,-0.188368767,0.52945298,0.500273943,0.187895477,0.494227946,0.629200816,0.07530538,0.526652813,0.623430431,0.477968991,0.506946385,0.746563852,0.331294239,0.556649327,0.728084505,0.783610761,0.531341314,0.769962549,0.351256907,0.574049592,0.748905003,0.813298047,0.414867282,0.762003005,0.249118403,0.478790283,0.737712324,0.77213794,2
0.259724602,0.333684042,-0.767366976,0.650115699,0.316527918,-0.645109117,0.448188305,0.333270386,-0.78164354,0.354414925,0.3997944,0.026593673,0.621074468,0.322336957,0.057019619,0.482853666,0.360710964,0.129222259,0.217572518,0.327718124,-0.859637588,0.336539045,0.392335758,0.007141313,0.21523726,0.321906567,-0.82482034,0.332673714,0.396683395,-0.059790185,0.23252546,0.32715708,-0.755982131,0.341492623,0.397416756,-0.010464365,0.64503172,0.496540427,-0.200574353,0.603552908,0.497028619,0.200032152,0.641670585,0.619657993,0.085659333,0.617299557,0.616331995,0.522240043,0.654584348,0.743665248,0.422065064,0.653630674,0.727947176,0.895291656,0.674307495,0.76981923,0.44956021,0.675654918,0.749118328,0.929963708,0.553511113,0.764500618,0.286896423,0.569279283,0.744192451,0.827664405,1
0.208678231,0.375827432,-0.418869361,0.480306208,0.324703366,-0.505728275,0.355846614,0.408319771,-0.544339478,0.439678073,0.471712366,0.272939742,0.543779165,0.321912721,0.126536496,0.520965964,0.415937752,0.268052652,0.174904428,0.364901155,-0.478045151,0.427095309,0.479947284,0.279195845,0.178793453,0.353438944,-0.453264579,0.422341511,0.47869654,0.230913185,0.191536196,0.357859537,-0.406069502,0.427228987,0.476460338,0.251416773,0.485479206,0.505731076,-0.186070293,0.525056988,0.501885206,0.185428105,0.493411556,0.629086107,0.097574025,0.519287109,0.622513533,0.48975791,0.508306652,0.746824116,0.365488783,0.55252853,0.72660467,0.811398357,0.532957792,0.77094689,0.387383819,0.570253074,0.747624874,0.844560742,0.412991866,0.762215525,0.290071055,0.475959092,0.737170756,0.807772547,2
0.264082998,0.350958645,-0.734338284,0.6501652,0.315370262,-0.632557392,0.453624696,0.340566099,-0.75087142,0.328313023,0.39252919,-0.005003051,0.626983583,0.32262215,0.059524756,0.478681386,0.360948384,0.116468646,0.221395165,0.347507894,-0.821077406,0.311945856,0.386311233,-0.030421287,0.217878968,0.341298938,-0.790592074,0.311035097,0.391622633,-0.097122706,0.238763019,0.349636585,-0.722712815,0.309400976,0.395030022,-0.042896107,0.645573735,0.495294392,-0.19366318,0.602258146,0.49610886,0.19328697,0.642783463,0.619353473,0.076705359,0.617121398,0.617071629,0.505091786,0.655466378,0.743177772,0.396373332,0.650467455,0.727910697,0.866936326,0.675668299,0.769539595,0.419727385,0.6733132,0.748843968,0.900553524,0.5562374,0.764910758,0.256109536,0.567927599,0.744565189,0.802053094,1
0.209401086,0.383142054,-0.406367898,0.478688747,0.324276686,-0.509071887,0.361819327,0.411104769,-0.537348926,0.421693444,0.469579965,0.271821618,0.539595246,0.320694774,0.1212008,0.509948075,0.416601211,0.268779874,0.174755976,0.371180832,-0.46202293,0.409337133,0.474520802,0.278148711,0.179771513,0.361163586,-0.438814044,0.402487487,0.473325908,0.233367056,0.19242163,0.36552909,-0.393378109,0.405551225,0.471666723,0.250978589,0.486194283,0.505271614,-0.182326451,0.527829409,0.500931919,0.181853384,0.495795846,0.628513336,0.096997276,0.521712065,0.622640252,0.472880393,0.5084427,0.745545864,0.362856895,0.554061115,0.727780521,0.779705584,0.531552494,0.769479394,0.382806093,0.571350157,0.749381244,0.811492085,0.416521817,0.761722863,0.289875478,0.476192951,0.738514006,0.759528756,2
0.264911339,0.33912544,-0.73740527,0.654004455,0.315522611,-0.629276603,0.452857137,0.334195063,-0.75891614,0.361806452,0.386216134,0.013986196,0.635881066,0.322533563,0.066151898,0.494397625,0.357913896,0.11973162,0.222367354,0.336214378,-0.826429218,0.343871206,0.384238377,-0.005955447,0.217286974,0.331794426,-0.791144878,0.34112598,0.386968493,-0.073054072,0.237258285,0.335450813,-0.725324482,0.347228512,0.391031832,-0.023181764,0.647210538,0.496505395,-0.197106421,0.603979617,0.497093916,0.196614146,0.64190203,0.62220788,0.082978003,0.618641317,0.619344175,0.510173529,0.653985113,0.743788034,0.416848987,0.654726356,0.728410214,0.870564371,0.67386511,0.771402955,0.442594245,0.677026331,0.750102639,0.905319601,0.551379293,0.766375273,0.280463845,0.568446159,0.744526535,0.811484814,1
0.209421724,0.389097869,-0.382098734,0.476787597,0.323002428,-0.487957507,0.361594588,0.409132093,-0.522931337,0.433189332,0.471801341,0.269656539,0.539897561,0.320443451,0.135730639,0.512817025,0.415318042,0.273867965,0.17388083,0.376940489,-0.437011153,0.421523839,0.477715522,0.276453823,0.176752508,0.366867214,-0.411131263,0.414547354,0.476314008,0.226662293,0.188961208,0.37202698,-0.368818164,0.418054312,0.474410772,0.247194022,0.484540731,0.504188359,-0.184970587,0.528565943,0.500195742,0.184502929,0.493179917,0.629061282,0.077313535,0.524281204,0.622458458,0.463321775,0.507668555,0.746888936,0.31884861,0.556149244,0.727496862,0.756201208,0.532170177,0.770291746,0.340578556,0.571985841,0.748397589,0.787419736,0.415916145,0.761824131,0.248660639,0.477399677,0.737637162,0.755589902,2
